bk_Code;ID;PARENT_ID;VERSION;VALUE;LANGUAGE;CODE_VALUE;IUPAC_NAME;TEXT_KEY
00376307-7002-47B6-9DD6-2698B98DA984-fr;00376307-7002-47B6-9DD6-2698B98DA984;NULL;0;ml dans 10 l d'eau/10 m²;fr;NULL;NULL;Measure
00376307-7002-47B6-9DD6-2698B98DA984-it;00376307-7002-47B6-9DD6-2698B98DA984;NULL;0;ml in 10 l d'acqua/10 m²;it;NULL;NULL;Measure
00376307-7002-47B6-9DD6-2698B98DA984-de;00376307-7002-47B6-9DD6-2698B98DA984;NULL;0;ml in 10 l Wasser/10 m² ;de;NULL;NULL;Measure
00459AF5-00A6-4D18-AABD-7DA993B55A68-en;00459AF5-00A6-4D18-AABD-7DA993B55A68;NULL;0;;en;NULL;NULL;ApplicationComment
00459AF5-00A6-4D18-AABD-7DA993B55A68-fr;00459AF5-00A6-4D18-AABD-7DA993B55A68;NULL;0;stade 13-30 (BBCH).;fr;NULL;NULL;ApplicationComment
00459AF5-00A6-4D18-AABD-7DA993B55A68-it;00459AF5-00A6-4D18-AABD-7DA993B55A68;NULL;0;Stadi 13 - 30 (BBCH).;it;NULL;NULL;ApplicationComment
00459AF5-00A6-4D18-AABD-7DA993B55A68-de;00459AF5-00A6-4D18-AABD-7DA993B55A68;NULL;0;Stadium 13-30 (BBCH).;de;NULL;NULL;ApplicationComment
005055A9-67BF-4C14-A78D-205E890E504C-en;005055A9-67BF-4C14-A78D-205E890E504C;NULL;0;;en;NULL;NULL;ApplicationComment
005055A9-67BF-4C14-A78D-205E890E504C-fr;005055A9-67BF-4C14-A78D-205E890E504C;NULL;0;avant ou aussitôt après la plantation.;fr;NULL;NULL;ApplicationComment
005055A9-67BF-4C14-A78D-205E890E504C-it;005055A9-67BF-4C14-A78D-205E890E504C;NULL;0;Prima o immediatamente dopo la piantagione.;it;NULL;NULL;ApplicationComment
005055A9-67BF-4C14-A78D-205E890E504C-de;005055A9-67BF-4C14-A78D-205E890E504C;NULL;0;Vor- oder unmittelbar nach der Pflanzung.;de;NULL;NULL;ApplicationComment
00836A1F-6ADE-4B38-8727-3D794BD59828-en;00836A1F-6ADE-4B38-8727-3D794BD59828;NULL;0;;en;13792;NULL;Obligation
00836A1F-6ADE-4B38-8727-3D794BD59828-de;00836A1F-6ADE-4B38-8727-3D794BD59828;NULL;0;Erste Behandlung nach der Pflanzung, zweite Behandlung 3 Wochen später.;de;13792;NULL;Obligation
00836A1F-6ADE-4B38-8727-3D794BD59828-fr;00836A1F-6ADE-4B38-8727-3D794BD59828;NULL;0;Premier traitement après la plantation, deuxième traitement 3 semaines plus tard.;fr;13792;NULL;Obligation
00836A1F-6ADE-4B38-8727-3D794BD59828-it;00836A1F-6ADE-4B38-8727-3D794BD59828;NULL;0;Primo trattamento subito dopo la piantagione, secondo trattamento dopo 3 settimane.;it;13792;NULL;Obligation
009C8A66-ABB5-464B-BA11-BBF59C7D0B79-en;009C8A66-ABB5-464B-BA11-BBF59C7D0B79;NULL;1;NULL;en;NULL;NULL;IngredientAdditionalText
009C8A66-ABB5-464B-BA11-BBF59C7D0B79-de;009C8A66-ABB5-464B-BA11-BBF59C7D0B79;NULL;1;als 34.9% Glyphosat-Kaliumsalz (441 g/l);de;NULL;NULL;IngredientAdditionalText
009C8A66-ABB5-464B-BA11-BBF59C7D0B79-it;009C8A66-ABB5-464B-BA11-BBF59C7D0B79;NULL;1;pari a 34.9% glifosato sotto forma di sale di potassio (441 g/l);it;NULL;NULL;IngredientAdditionalText
009C8A66-ABB5-464B-BA11-BBF59C7D0B79-fr;009C8A66-ABB5-464B-BA11-BBF59C7D0B79;NULL;1;sous forme de 34.9% de sel de potassium de glyphosate (441 g/l) ;fr;NULL;NULL;IngredientAdditionalText
00C27B5A-7923-4A59-9FFB-9D2957ADFC8D-en;00C27B5A-7923-4A59-9FFB-9D2957ADFC8D;NULL;0;;en;14486;NULL;Obligation
00C27B5A-7923-4A59-9FFB-9D2957ADFC8D-de;00C27B5A-7923-4A59-9FFB-9D2957ADFC8D;NULL;0;Anwendung nur unter den Bäumen;de;14486;NULL;Obligation
00C27B5A-7923-4A59-9FFB-9D2957ADFC8D-fr;00C27B5A-7923-4A59-9FFB-9D2957ADFC8D;NULL;0;Traitement seulement sous les arbres;fr;14486;NULL;Obligation
00C27B5A-7923-4A59-9FFB-9D2957ADFC8D-it;00C27B5A-7923-4A59-9FFB-9D2957ADFC8D;NULL;0;Trattamento esclusivamente sotto gli alberi;it;14486;NULL;Obligation
00D94F57-BA6F-4BA0-8F68-26D4C497539A-en;00D94F57-BA6F-4BA0-8F68-26D4C497539A;890D8A5E-BF86-4B2D-9B98-45B779D80F7F;0;NULL;en;NULL;NULL;Culture
00D94F57-BA6F-4BA0-8F68-26D4C497539A-de;00D94F57-BA6F-4BA0-8F68-26D4C497539A;890D8A5E-BF86-4B2D-9B98-45B779D80F7F;0;Ein- und zweijährige Zierpflanzen;de;NULL;NULL;Culture
00D94F57-BA6F-4BA0-8F68-26D4C497539A-it;00D94F57-BA6F-4BA0-8F68-26D4C497539A;890D8A5E-BF86-4B2D-9B98-45B779D80F7F;0;Piante ornamentali annuali e biennali;it;NULL;NULL;Culture
00D94F57-BA6F-4BA0-8F68-26D4C497539A-fr;00D94F57-BA6F-4BA0-8F68-26D4C497539A;890D8A5E-BF86-4B2D-9B98-45B779D80F7F;0;plantes ornementales annuelles et bisannuelles;fr;NULL;NULL;Culture
00E5D1C0-CC78-43FF-9629-83B2CE784AC0-en;00E5D1C0-CC78-43FF-9629-83B2CE784AC0;NULL;0;;en;9934;NULL;Obligation
00E5D1C0-CC78-43FF-9629-83B2CE784AC0-fr;00E5D1C0-CC78-43FF-9629-83B2CE784AC0;NULL;0;Autorisé seulement pour le traitement des surfaces rugueuses des locaux vides avant le stockage des produits de récolte séchés suivants: céréales, maïs, riz, féveroles, haricots, pois protéagineux, lentilles. ;fr;9934;NULL;Obligation
00E5D1C0-CC78-43FF-9629-83B2CE784AC0-it;00E5D1C0-CC78-43FF-9629-83B2CE784AC0;NULL;0;Autorizzato esclusivamente per il trattamento dei locali vuoti con superfici rugose prima dell'immagazzinaggio dei seguenti prodotti sechi: cereali, mais, riso, fave, fagioli, piselli proteici, lenticchie. ;it;9934;NULL;Obligation
00E5D1C0-CC78-43FF-9629-83B2CE784AC0-de;00E5D1C0-CC78-43FF-9629-83B2CE784AC0;NULL;0;Bewilligt nur für die Behandlung leerer Räume mit rauher Oberfläche vor der Einlagerung folgender getrockneter Erntegüter: Getreide, Mais, Reis, Ackerbohnen, Bohnen, Eiweisserbsen, Linsen.;de;9934;NULL;Obligation
00F1D588-62E9-4E99-B537-B20CB0DFE546-en;00F1D588-62E9-4E99-B537-B20CB0DFE546;NULL;0;;en;NULL;NULL;Measure
00F1D588-62E9-4E99-B537-B20CB0DFE546-fr;00F1D588-62E9-4E99-B537-B20CB0DFE546;NULL;0;ml/pot;fr;NULL;NULL;Measure
00F1D588-62E9-4E99-B537-B20CB0DFE546-de;00F1D588-62E9-4E99-B537-B20CB0DFE546;NULL;0;ml/Topf;de;NULL;NULL;Measure
00F1D588-62E9-4E99-B537-B20CB0DFE546-it;00F1D588-62E9-4E99-B537-B20CB0DFE546;NULL;0;ml/vaso;it;NULL;NULL;Measure
00FA9489-25E6-4F29-94DA-DC03CE849801-de;00FA9489-25E6-4F29-94DA-DC03CE849801;NULL;NULL;Beer Sheva;de;Israel-84100;NULL;City
00FA9489-25E6-4F29-94DA-DC03CE849801-en;00FA9489-25E6-4F29-94DA-DC03CE849801;NULL;NULL;Beer Sheva;en;Israel-84100;NULL;City
00FA9489-25E6-4F29-94DA-DC03CE849801-fr;00FA9489-25E6-4F29-94DA-DC03CE849801;NULL;NULL;Beer Sheva;fr;Israel-84100;NULL;City
00FA9489-25E6-4F29-94DA-DC03CE849801-it;00FA9489-25E6-4F29-94DA-DC03CE849801;NULL;NULL;Beer Sheva;it;Israel-84100;NULL;City
B0A16A8B-2E1B-4947-82A5-563FBC7B973E-it;B0A16A8B-2E1B-4947-82A5-563FBC7B973E;NULL;0;Ingresso nei locali trattati mentre il prodotto è attivo : indossare guanti di protezione + indumenti protettivi + copricapo + occhiali di protezione + maschera di protezione (A2P2).;it;15892;NULL;Obligation
B0A36956-1008-467B-B30F-62A58AEEF8BD-en;B0A36956-1008-467B-B30F-62A58AEEF8BD;NULL;0;;en;NULL;NULL;Measure
B0A36956-1008-467B-B30F-62A58AEEF8BD-de;B0A36956-1008-467B-B30F-62A58AEEF8BD;NULL;0;Fangbrett (à 2.5 Mio. Org.) / 4 m2;de;NULL;NULL;Measure
B0A36956-1008-467B-B30F-62A58AEEF8BD-fr;B0A36956-1008-467B-B30F-62A58AEEF8BD;NULL;0;piège (à 2.5 mio. org.) / 4 m2;fr;NULL;NULL;Measure
B0A36956-1008-467B-B30F-62A58AEEF8BD-it;B0A36956-1008-467B-B30F-62A58AEEF8BD;NULL;0;trappola (a 2.5 mio. org.) / 4 m2;it;NULL;NULL;Measure
B0A8FCCC-A732-432B-94AC-3375544AC7F4-en;B0A8FCCC-A732-432B-94AC-3375544AC7F4;NULL;0;;en;14032;NULL;Obligation
B0A8FCCC-A732-432B-94AC-3375544AC7F4-fr;B0A8FCCC-A732-432B-94AC-3375544AC7F4;NULL;0;SPe 8: Dangereux pour les abeilles - Ne doit pas entrer en contact avec des plantes en fleur ou exsudant du miellat. Les plantes d'enherbement et les adventices en fleurs doivent être éliminées avant le traitement (faucher ou broyer). Ne doit pas être utilisé en présence de plantes en fleurs dans les parcelles voisines. Application uniquement dans des serres fermées, pour autant que des pollinisateurs ne soient pas présents.;fr;14032;NULL;Obligation
B0A8FCCC-A732-432B-94AC-3375544AC7F4-de;B0A8FCCC-A732-432B-94AC-3375544AC7F4;NULL;0;SPe 8: Gefährlich für Bienen - Darf nicht mit blühenden oder Honigtau aufweisenden Pflanzen in Kontakt kommen. Blühende Einsaaten oder Unkräuter vor der Behandlung entfernen (mähen oder mulchen). Darf nicht angewendet werden, wenn sich blühende Pflanzen in benachbarten Parzellen befinden. Anwendung im geschlossenen Gewächshaus sofern keine Bestäuber zugegen sind.;de;14032;NULL;Obligation
B0A8FCCC-A732-432B-94AC-3375544AC7F4-it;B0A8FCCC-A732-432B-94AC-3375544AC7F4;NULL;0;SPe 8: Pericoloso per le api - Non deve entrare in contatto con piante in fiore o che presentano melata. Prima del trattamento eliminare colture intercalari o malerbe in fiore (sfalcio o pacciamatura). Non deve essere applicato quando nelle particelle vicine ci sono piante in fiore. Applicazione soltanto in serre chiuse, a condizione che non siano presenti impollinatori.;it;14032;NULL;Obligation
B0B04946-D904-4F52-9551-4E76C3229C70-en;B0B04946-D904-4F52-9551-4E76C3229C70;NULL;0;;en;13070;NULL;Obligation
B0B04946-D904-4F52-9551-4E76C3229C70-de;B0B04946-D904-4F52-9551-4E76C3229C70;NULL;0;Brühemenge: 1000 - 1500 l/ha.;de;13070;NULL;Obligation
B0B04946-D904-4F52-9551-4E76C3229C70-it;B0B04946-D904-4F52-9551-4E76C3229C70;NULL;0;Quantitativo di poltiglia: 1000 - 1500 l/ha.;it;13070;NULL;Obligation
B0B04946-D904-4F52-9551-4E76C3229C70-fr;B0B04946-D904-4F52-9551-4E76C3229C70;NULL;0;Quantité de bouillie: 1000 - 1500 l/ha.;fr;13070;NULL;Obligation
B0C920A5EDF5036E0F78CA589F60F4DCB8CB-en;B0C920A5EDF5036E0F78CA589F60F4DCB8CB;NULL;NULL;Interval (in days): 7.;en;NULL;NULL;ApplicationComment
B0C920A5EDF5036E0F78CA589F60F4DCB8CB-fr;B0C920A5EDF5036E0F78CA589F60F4DCB8CB;NULL;NULL;Intervalle min. entre les applications (en jours): 7.;fr;NULL;NULL;ApplicationComment
B0C920A5EDF5036E0F78CA589F60F4DCB8CB-it;B0C920A5EDF5036E0F78CA589F60F4DCB8CB;NULL;NULL;Intervallo minimo tra le applicazioni (in giorni): 7.;it;NULL;NULL;ApplicationComment
B0C920A5EDF5036E0F78CA589F60F4DCB8CB-de;B0C920A5EDF5036E0F78CA589F60F4DCB8CB;NULL;NULL;Min. Intervall zwischen Anwendungen (in Tagen): 7.;de;NULL;NULL;ApplicationComment
B0C97542-1ACE-4736-A848-47B66B198F50-en;B0C97542-1ACE-4736-A848-47B66B198F50;NULL;0;;en;NULL;NULL;ApplicationComment
B0C97542-1ACE-4736-A848-47B66B198F50-fr;B0C97542-1ACE-4736-A848-47B66B198F50;NULL;0;stade 53-65 (BBCH).;fr;NULL;NULL;ApplicationComment
B0C97542-1ACE-4736-A848-47B66B198F50-it;B0C97542-1ACE-4736-A848-47B66B198F50;NULL;0;Stadi 51-65 (BBCH).;it;NULL;NULL;ApplicationComment
B0C97542-1ACE-4736-A848-47B66B198F50-de;B0C97542-1ACE-4736-A848-47B66B198F50;NULL;0;Stadium 53-65 (BBCH).;de;NULL;NULL;ApplicationComment
B0E73C56-19EE-46B0-984B-975E2DC9F0B2-de;B0E73C56-19EE-46B0-984B-975E2DC9F0B2;NULL;NULL;Paris;de;75008;NULL;City
B0E73C56-19EE-46B0-984B-975E2DC9F0B2-en;B0E73C56-19EE-46B0-984B-975E2DC9F0B2;NULL;NULL;Paris;en;75008;NULL;City
B0E73C56-19EE-46B0-984B-975E2DC9F0B2-fr;B0E73C56-19EE-46B0-984B-975E2DC9F0B2;NULL;NULL;Paris;fr;75008;NULL;City
B0E73C56-19EE-46B0-984B-975E2DC9F0B2-it;B0E73C56-19EE-46B0-984B-975E2DC9F0B2;NULL;NULL;Paris;it;75008;NULL;City
B0EF3A7F-0BD3-4850-B56C-32A7456ADABC-en;B0EF3A7F-0BD3-4850-B56C-32A7456ADABC;NULL;0;;en;NULL;NULL;ApplicationComment
B0EF3A7F-0BD3-4850-B56C-32A7456ADABC-fr;B0EF3A7F-0BD3-4850-B56C-32A7456ADABC;NULL;0;en post-levée, à partir du stade 2-4 feuilles.;fr;NULL;NULL;ApplicationComment
B0EF3A7F-0BD3-4850-B56C-32A7456ADABC-it;B0EF3A7F-0BD3-4850-B56C-32A7456ADABC;NULL;0;In post-emergenza, dallo stadio di 2-4 foglie della coltura.;it;NULL;NULL;ApplicationComment
B0EF3A7F-0BD3-4850-B56C-32A7456ADABC-de;B0EF3A7F-0BD3-4850-B56C-32A7456ADABC;NULL;0;Nachauflauf, ab 2-4-Blatt Stadium der Kultur.;de;NULL;NULL;ApplicationComment
B0F083FF-6CAD-4188-BD6D-8BFF6132E3D0-en;B0F083FF-6CAD-4188-BD6D-8BFF6132E3D0;NULL;0;;en;NULL;NULL;Pest
B0F083FF-6CAD-4188-BD6D-8BFF6132E3D0-de;B0F083FF-6CAD-4188-BD6D-8BFF6132E3D0;NULL;0;Ackerkratzdistel;de;NULL;NULL;Pest
B0F083FF-6CAD-4188-BD6D-8BFF6132E3D0-fr;B0F083FF-6CAD-4188-BD6D-8BFF6132E3D0;NULL;0;chardon ou cirse des champs;fr;NULL;NULL;Pest
B0F083FF-6CAD-4188-BD6D-8BFF6132E3D0-it;B0F083FF-6CAD-4188-BD6D-8BFF6132E3D0;NULL;0;Stoppione;it;NULL;NULL;Pest
B10E5B77-1522-4E38-A707-BCFFE5CAEDD4-en;B10E5B77-1522-4E38-A707-BCFFE5CAEDD4;NULL;0;;en;15142;NULL;Obligation
B10E5B77-1522-4E38-A707-BCFFE5CAEDD4-fr;B10E5B77-1522-4E38-A707-BCFFE5CAEDD4;NULL;0;Information pour que des tierces personnes n'entrent pas dans la parcelle.;fr;15142;NULL;Obligation
B10E5B77-1522-4E38-A707-BCFFE5CAEDD4-de;B10E5B77-1522-4E38-A707-BCFFE5CAEDD4;NULL;0;Information, damit Dritte die Parzelle nicht betreten.;de;15142;NULL;Obligation
B10E5B77-1522-4E38-A707-BCFFE5CAEDD4-it;B10E5B77-1522-4E38-A707-BCFFE5CAEDD4;NULL;0;Informazione affinché terze persone non entrino nella particella.;it;15142;NULL;Obligation
B12482B3-AAA7-4B13-A8CD-FDA6343D48C4-de;B12482B3-AAA7-4B13-A8CD-FDA6343D48C4;NULL;0;Abamectin;de;NULL;Avermectin B1;Substance
B12482B3-AAA7-4B13-A8CD-FDA6343D48C4-en;B12482B3-AAA7-4B13-A8CD-FDA6343D48C4;NULL;0;Abamectin;en;NULL;Avermectin B1;Substance
B12482B3-AAA7-4B13-A8CD-FDA6343D48C4-it;B12482B3-AAA7-4B13-A8CD-FDA6343D48C4;NULL;0;Abamectina;it;NULL;Avermectin B1;Substance
B12482B3-AAA7-4B13-A8CD-FDA6343D48C4-fr;B12482B3-AAA7-4B13-A8CD-FDA6343D48C4;NULL;0;abamectine;fr;NULL;Avermectin B1;Substance
B13766AB-3406-436E-B37A-6F9B01B5E6CB-en;B13766AB-3406-436E-B37A-6F9B01B5E6CB;NULL;0;;en;11959;NULL;Obligation
B13766AB-3406-436E-B37A-6F9B01B5E6CB-de;B13766AB-3406-436E-B37A-6F9B01B5E6CB;NULL;0;Das Mittel ist stets trocken zu lagern: nur in verschlossener Originalverpackung und nur in abseits von Wohnungen gelegenen Räumen, die nicht für den ständigen Aufenthalt von Menschen und Haustieren bestimmt sind.;de;11959;NULL;Obligation
B13766AB-3406-436E-B37A-6F9B01B5E6CB-it;B13766AB-3406-436E-B37A-6F9B01B5E6CB;NULL;0;Il prodotto deve essere conservato sempre all'asciutto: solo nell'imballaggio originale chiuso e lontano da spazi situati in appartamenti non adatti alla permanenza permanente di uomini e animali domestici. ;it;11959;NULL;Obligation
B13766AB-3406-436E-B37A-6F9B01B5E6CB-fr;B13766AB-3406-436E-B37A-6F9B01B5E6CB;NULL;0;Le produit doit toujours être entreposé au sec: uniquement dans l'emballage d'origine bien fermé et seulement dans des locaux non destinés au séjour prolongé de personnes et d'animaux domestiques et qui se trouvent à l'écart des lieux d'habitation.;fr;11959;NULL;Obligation
B1616514-C4D3-4E10-828B-15FC83D54FF5-en;B1616514-C4D3-4E10-828B-15FC83D54FF5;NULL;0;;en;NULL;NULL;ApplicationComment
B1616514-C4D3-4E10-828B-15FC83D54FF5-it;B1616514-C4D3-4E10-828B-15FC83D54FF5;NULL;0;Appena il rigonfiamento delle gemme a fiore tra le giovani foglie è riconoscibile (stadio a stella / BBCH 51).;it;NULL;NULL;ApplicationComment
B1616514-C4D3-4E10-828B-15FC83D54FF5-fr;B1616514-C4D3-4E10-828B-15FC83D54FF5;NULL;0;Dès que l'inflorescence est visible entre les jeunes feuilles (au stade bouton étoilé / BBCH 51).;fr;NULL;NULL;ApplicationComment
B1616514-C4D3-4E10-828B-15FC83D54FF5-de;B1616514-C4D3-4E10-828B-15FC83D54FF5;NULL;0;Sobald Infloreszenzknospe zwischen den jungen Blättern gerade erkennbar (Sternstadium / BBCH 51).;de;NULL;NULL;ApplicationComment
B1833205-1098-40A3-B9BF-62FEA7985EC5-en;B1833205-1098-40A3-B9BF-62FEA7985EC5;NULL;0;;en;NULL;NULL;ApplicationComment
B1833205-1098-40A3-B9BF-62FEA7985EC5-fr;B1833205-1098-40A3-B9BF-62FEA7985EC5;NULL;0;stade 03-09 (BBCH).;fr;NULL;NULL;ApplicationComment
B1833205-1098-40A3-B9BF-62FEA7985EC5-it;B1833205-1098-40A3-B9BF-62FEA7985EC5;NULL;0;Stadi 03 - 09 (BBCH).;it;NULL;NULL;ApplicationComment
B1833205-1098-40A3-B9BF-62FEA7985EC5-de;B1833205-1098-40A3-B9BF-62FEA7985EC5;NULL;0;Stadium 03-09 (BBCH).;de;NULL;NULL;ApplicationComment
B19199E6-90D2-4AFB-B926-A0769D92470B-en;B19199E6-90D2-4AFB-B926-A0769D92470B;NULL;0;;en;NULL;NULL;Pest
B19199E6-90D2-4AFB-B926-A0769D92470B-it;B19199E6-90D2-4AFB-B926-A0769D92470B;NULL;0;Minatrici;it;NULL;NULL;Pest
B19199E6-90D2-4AFB-B926-A0769D92470B-de;B19199E6-90D2-4AFB-B926-A0769D92470B;NULL;0;Minierfliegen;de;NULL;NULL;Pest
B19199E6-90D2-4AFB-B926-A0769D92470B-fr;B19199E6-90D2-4AFB-B926-A0769D92470B;NULL;0;mouches mineuses;fr;NULL;NULL;Pest
B1B6412D-A0A3-4AF4-808B-8D23C077AF58-en;B1B6412D-A0A3-4AF4-808B-8D23C077AF58;NULL;0;;en;14388;NULL;Obligation
B1B6412D-A0A3-4AF4-808B-8D23C077AF58-de;B1B6412D-A0A3-4AF4-808B-8D23C077AF58;NULL;0;Behandlung wenn Unkräuter und Ungräser ca. 10 cm hoch sind.;de;14388;NULL;Obligation
B1B6412D-A0A3-4AF4-808B-8D23C077AF58-fr;B1B6412D-A0A3-4AF4-808B-8D23C077AF58;NULL;0;Traitement dès que les adventices ont atteint 10 cm d'hauteur.;fr;14388;NULL;Obligation
B1B6412D-A0A3-4AF4-808B-8D23C077AF58-it;B1B6412D-A0A3-4AF4-808B-8D23C077AF58;NULL;0;Trattare quando le malerbe hanno raggiunto 10 cm di altezza.;it;14388;NULL;Obligation
B1C212FC-58BD-4C3C-A7D0-AA891E139F71-en;B1C212FC-58BD-4C3C-A7D0-AA891E139F71;NULL;0;;en;9586;NULL;Obligation
B1C212FC-58BD-4C3C-A7D0-AA891E139F71-it;B1C212FC-58BD-4C3C-A7D0-AA891E139F71;NULL;0;SPa 1: Per evitare l'insorgenza di resistenza al massimo 1 trattamento per anno e particella con prodotti dello stesso gruppo di principi attivi. ;it;9586;NULL;Obligation
A09A25A4-5CBD-4688-AC58-F188E0678FA4-de;A09A25A4-5CBD-4688-AC58-F188E0678FA4;NULL;0;Phomopsis der Sonnenblume;de;NULL;NULL;Pest
A09A25A4-5CBD-4688-AC58-F188E0678FA4-fr;A09A25A4-5CBD-4688-AC58-F188E0678FA4;NULL;0;phomopsis du tournesol;fr;NULL;NULL;Pest
A0B44493-3AA5-4094-9376-A561BBB161CC-de;A0B44493-3AA5-4094-9376-A561BBB161CC;NULL;NULL;London;de;NW11 7JT;NULL;City
A0B44493-3AA5-4094-9376-A561BBB161CC-en;A0B44493-3AA5-4094-9376-A561BBB161CC;NULL;NULL;London;en;NW11 7JT;NULL;City
A0B44493-3AA5-4094-9376-A561BBB161CC-fr;A0B44493-3AA5-4094-9376-A561BBB161CC;NULL;NULL;London;fr;NW11 7JT;NULL;City
A0B44493-3AA5-4094-9376-A561BBB161CC-it;A0B44493-3AA5-4094-9376-A561BBB161CC;NULL;NULL;London;it;NW11 7JT;NULL;City
A0BA03EE-3FCE-4190-8456-CBC4104DF316-en;A0BA03EE-3FCE-4190-8456-CBC4104DF316;NULL;0;;en;NULL;NULL;ApplicationComment
A0BA03EE-3FCE-4190-8456-CBC4104DF316-de;A0BA03EE-3FCE-4190-8456-CBC4104DF316;NULL;0;Splitbehandlung: 3 x 1 l/ha.;de;NULL;NULL;ApplicationComment
A0BA03EE-3FCE-4190-8456-CBC4104DF316-fr;A0BA03EE-3FCE-4190-8456-CBC4104DF316;NULL;0;Traitement fractionné: 3 x 1 l/ha.;fr;NULL;NULL;ApplicationComment
