"NK_PermissionHolder","FAX","AdditionalInformation","NAME","STREET","PostOfficeBox","NK_CodetableCity","Phone","NK_CodetableCountry"
"112A67B6-94A0-41A3-A9CB-1B2A0F206FF8","","","Nufarm SAS","11 rue du Débarcadère ","","7045AA08-321A-467E-B608-9EDF09992E66","","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"1192722A-427A-4B69-9E7B-C2FD5239CACC","","","Luxembourg Pamol (Cyprus) LTD.","3 Demetriou Vikella Street ","","2A1D0F4D-71BC-42BE-AE88-FA6D20E69602","","FB4131DC-DCA0-4E96-9664-E1D2484E4306"
"124995F6-6203-4E05-895C-762E2689486D","","","Novozymes Switzerland AG","Gewerbestrasse 7A","","29E25C80-2C22-4300-A92E-7855FD0177E8","","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"15BAC516-7F05-4353-82D7-A2BA41438215","","","Stähler Suisse SA","Henzmannstrasse 17A","","E9AA4653-0686-4C06-B25A-1EBE72D2DCAE","+41 62 746 80 05 / +41 62 746 80 00","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"16DCD8AE-8BD0-4FAE-90E2-AE2D310AE4A1","","","Bayer CropScience AG","Alfred-Nobel-Str. 50 ","","CFA42B21-1997-4C04-940E-A9D476746FB5","0049 2173 / 38 33 74","56CCE907-F002-4B0C-B948-98299B1FEA6E"
"17486103-B818-49E6-9667-AF90F13F5CC0","","","Rovagro SA","Route de Bettens 19","","FD54A8A1-8943-4AFF-A184-B4D91CAA65E0","","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"18386E3D-BF3B-4409-A27A-80B143DD15AB","","","ISK Biosciences Europe S.A.","Olfener Str. 36 ","","24607323-F894-4C50-B724-8DAD45015B6F","","56CCE907-F002-4B0C-B948-98299B1FEA6E"
"1B26C54A-FAE0-40A1-BEAF-F43B46D0CC56","","","Arysta LifeScience Germany GmbH","Elisabethstrasse 44 ","","91849348-35A4-4699-A678-44F597720262","","56CCE907-F002-4B0C-B948-98299B1FEA6E"
"1BCAFD53-2E65-4CEF-A5F0-798223F02438","","","ADAMA Agan Ltd","P.O. Box 262 ","","0FC04E94-2EAC-4A4E-8C8C-CDB1CFD18EC0","","E4D16808-543E-47EC-9BCC-50A0CAEC7C9B"
"1C045F37-B688-43EC-BEAB-E0A64A479F45","","","DU PONT DE NEMOURS ITALIANA S.R.L.","VIA PONTACCIO, 10 ","","8213F13E-D235-4E63-A20F-CF2E56867558","","BE1D323D-29E4-4570-8618-5463896BE5D2"
"1CA8733C-F6A1-4182-987D-661CD24CE402","","","Quene Plant Protection N.V.","Kaya W.F.G. (Jombi) Mensing 34 P.O. Box 403 ","","A8973880-BA32-469A-9B3E-B5ECCE7B069B","","51F6122D-47EC-4051-97CC-01D7CF8E4758"
"1CED4440-F01E-412E-A875-A213842B94A2","","","SCAE - Valent BioSciences Sàrl (Switzerland)","Rue du Grand-Chêne  2","1016","54C4F4AA-6843-4C9B-8FC8-5D283A00590A","+41 22 990 21 25","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"1D52610E-016C-41D8-A5BA-2878F03A6593","","","UPL Switzerland AG","Blegi 3","","99D22E18-FA6E-4A2E-8F74-5C894F95B33D","+49(0) 2232 56934144 ","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"1E2E9CB1-6B6F-4693-8E8D-C7E8654B50EC","","","Sharda Cropchem Ltd.","29th Road, Bandra (West) ","","8BC38510-853B-4076-B73E-DED908ADB5FD","","CDA1F206-EDB0-40D2-8FF6-15B29EAD6C7F"
"1E7CC59B-D3B6-439C-A98C-27B0425FFAA2","","","Corteva Agriscience Germany GmbH","Riedenburger Str. 7 ","","A2A3F0B6-7321-407C-AF26-7C351A05C8BB","","56CCE907-F002-4B0C-B948-98299B1FEA6E"
"1F2C9311-4B2E-4FBB-B8E1-7AE69170C7A5","","","ISK Biosciences Europe S.A. (B)","Tour Itt., Avenue Louise 480, boite 12 ","","F3AC652F-FCF5-41E3-B315-81C74A41218F","","9E495CC6-2D2C-4E76-B183-8D98611AEBA4"
"1F589397-11D5-4AC1-B113-84C713BD54E0","","","Leu + Gygax AG","Baslerstrasse  42","","745D8CCB-0341-4BA5-BEF5-EAF62B51BDB7","056 201 45 45","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"20CD2969-0578-4E34-86E7-A6ED756874F3","","","ADAMA Italia srl","Via Zanica, 19 ","","1B0E8CD2-C06C-4760-8D74-4E15302F75E7","","BE1D323D-29E4-4570-8618-5463896BE5D2"
"21E5EB98-A51B-414B-AF34-89FB8D835019","","","Douglas Switzerland GmbH","Zählerweg 6","","CC266499-EA7B-4279-94F3-A6EDD3CD299C","041 726 82 00 ","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"22578E7F-56F8-4E35-825A-FBFE5296734D","","","Hauert HBG Dünger AG","Dorfstrasse 12","","19B88C6C-1907-497A-B5C1-C602C24A306D","032 389 10 10","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"25D3D0D5-1E95-474E-AEA3-C752B1A9BEC7","","","Cheminova Deutschland GmbH & Co. KG","Stader Elbstrasse  26","","3A7C9472-32A0-4139-856F-DB9BFCFBB152","+49 4141 9204 248","56CCE907-F002-4B0C-B948-98299B1FEA6E"
"28DCC974-015B-48EB-A11F-0EA0F267E9B2","","","Nufarm Italia S.R.L.","Viale Luigi Majno 17/A ","","1954A30A-C270-4FC2-93B5-AA1FAC1D9AFB","","BE1D323D-29E4-4570-8618-5463896BE5D2"
"2B7D4FA6-1E82-40F5-86D9-3B1497D93FB9","","","Belchim Crop Protection N.V.","Neringstraat 15 ","","ADEB79FE-66DF-407A-AB00-7A73BA94BDF6","","9E495CC6-2D2C-4E76-B183-8D98611AEBA4"
"2D42C2A3-CDE2-403A-A89B-1E7CA9F806A0","","","Albaugh Europe Sàrl","Avenue Gratta-Paille 2","","7CA0CB19-7013-46A6-8625-61B52F574A09","+41 21 799 91 30","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"2EA3C6FA-5BE7-44A5-8202-BBC71D4DD0F2","","","Renovita Wilen GmbH","Weidstrasse 11","","AE41950B-F309-4BD3-9E58-F0890D173313","071 955 00 55","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"307FAE72-DDA8-4B13-82E3-0B8D4D3BCD17","","","Arxada AG","Lonzastrasse 2","","32C65211-73CC-4F70-9D34-4C4D3D98295B","061 316 83 06","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"316632FC-9642-4B6A-90A7-B39642ECD86D","","","MR Personal & Service GmbH","Italienische Strasse 126","","EBFE1D04-937E-4E73-89BC-710B64BDDE09","","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"31731D1B-B267-4131-BD39-A4BF5EB2A93F","","","ADAMA Deutschland GmbH","Edmund-Rumpler-Str. 6 ","","9B47E471-0E9D-48A9-86CB-8EB6F5B3D733","","56CCE907-F002-4B0C-B948-98299B1FEA6E"
"31EE96E5-1E95-41ED-9F21-4098CB6C5784","","","Milentus BV"," ","","3978B6B1-A645-458F-9F9D-C8EDE1E7A74A","","51F6122D-47EC-4051-97CC-01D7CF8E4758"
"32911DDF-66CC-4879-BD38-8D4AD9CC7316","","","ONE Agriculture AG","Baarerstrasse 38","","A522CF26-8250-4C94-BDA0-DBBE1BD9F756","","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"33A0EE2C-04EB-4D4E-917E-8F246342EDC4","","","Nufarm Deutschland GmbH","Im MediaPark 4 d ","","C7AA3C73-06E1-44DE-A851-BFAE1BA5E7BD","","56CCE907-F002-4B0C-B948-98299B1FEA6E"
"33A41DBA-EA4D-40EB-BAB9-32858C853782","","","Syngenta France SAS","12 Che de l'Hobit ","","B40B9062-AF16-4523-A6BE-3C05BD86119D","","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"34AF8C15-EC18-43F2-A056-21C2F9B85193","","","United Phosphorus Limited","Birchwood Park ","","B74B70AD-2EB0-4008-A0B7-D1C3A6FC52EB","","DAC731AC-BB70-4164-B500-83559938B481"
"352E997E-D2B1-44CD-90ED-BAEFF2B2AB7F","","","Evergreen Garden Care Österreich GmbH","Franz-Brötzner-Straße 11-13 ","","7BFBB51D-B173-46C3-BCE1-CA5CB24838EE","","29738AA2-5393-438D-BE07-9D6B56D2ACCF"
"353714A9-4C7D-4783-B66D-3BFF2F3F7DCD","","","Certis Europe BV","5 rue Galilée ","","DAE7DE3C-5437-4D10-B1BA-FAF56F9D7E0C","","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"3741A067-F02B-40A0-8FA5-616E795E0800","","","KRONI AG","Bafflesstrasse 5 ","","7D017394-EC49-430A-9332-8D41AD10E47B","","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"3911D0E7-8464-4621-9D52-F303AB1EF220","","","JUMBO","Industriestrasse 34","Postfach","97EDC334-D08A-49FD-A797-2675CF7CAAA3","","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"3A45660B-A244-4046-BAA8-DD0BF0103611","","","Regaber Holding AG","Industriestrasse 9","","05E5AF9B-F0E8-45CB-BB14-0CF5BFDF8D4A","","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"3AEA0E67-7F50-4825-B8BB-CFBAD94D019B","","","Desinfecta AG","Bernapark 23","","22070657-61D5-46AB-8A8F-755A71F4EC2A","","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"3C2DDC32-A8AD-40EB-B0DA-DDFB0D1484CB","","","Cheminova Agro France S.A.S","19 Bd Eugène Duruelle ","","9B3466CB-274B-49AC-90E4-1C57057957CA","","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"3CA063B7-B2FE-4867-8EF0-8B25AED5E042","","","WASGOM","Wydimattstrasse 22","","7172254F-8E90-410D-9047-CA86CC25BEFF","079 426 98 04 ","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"3D09D88B-62C8-4577-9BC9-A961757930A5","","","Agrimotion S. A. ","ul Bydgoskich Przemyslowcow 6 ","","C297B8A8-7C36-41B9-941C-CDBA08A6FFAD","","13CA0E2A-04AB-4BCD-A462-D4EA82B6FA74"
"3D0D954C-4EC1-4C71-9266-B70DEE134B29","","","808 Biozide Schweiz GmbH","Hauptstrasse 84","","7D7B95EC-23DF-4E51-9D72-010BF2AB198F","044 3210 20 05 ","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"3F98B3A7-56C5-42DE-B59E-7C6F84BEC0E6","","","W. Neudorff GmbH KG","An der Mühle 3 ","","FC326115-F15A-451D-A5F9-2BBC8A1AD8E0","0049 5155 624-126","56CCE907-F002-4B0C-B948-98299B1FEA6E"
"3FAB8BC5-245B-432B-9EEB-73F900C64F4F","","","Bayer CropScience S.r.l.","Viale Certosa 130 ","","5F9469A5-744E-41BD-A5B9-CA75992862A4","","BE1D323D-29E4-4570-8618-5463896BE5D2"
"414B12AF-A2BC-4D35-880B-00025056247F","","","SFP Europe SA","Spitalstrasse 5 ","","C96FBFFD-F8EE-44B0-8D22-F63F451C2DD5","","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"420CD1F2-3149-494E-88A0-831910454903","","","UPL Europe Ltd.","Hall Lane, Rookery Bridge ","","48D83D55-C21F-4D98-BD80-196DEA53F965","","DAC731AC-BB70-4164-B500-83559938B481"
"43CA8CA4-185E-4F2B-B894-EE50F8FB78D5","","","A. Ziegler AG","Rengglochstrasse  38","","22DEEECD-906C-42AF-A62A-695C34A1550B","","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"4481BC9B-60A3-4E18-B06C-4CF6CDF65B5D","","","BASF Belgium S.A.","Chaussée de la Hulpe 178 ","","56E4BCEC-151F-413E-A6DD-D55EEF3BC56D","","9E495CC6-2D2C-4E76-B183-8D98611AEBA4"
"46353DBD-B1C4-4D1E-894B-1CC11FC20B41","","","UPL Europe Ltd","Birchwood Park ","","0164F017-7BA9-4AD4-9108-5D6C645C54E7","","DAC731AC-BB70-4164-B500-83559938B481"
"48FD31FF-F72A-4B5D-8B05-CB392BE261B0","","","Certis Belchim B.V.","Stadsplateau 16 ","","035C2754-05DB-4E2C-B755-FCB34BCABA76","","51F6122D-47EC-4051-97CC-01D7CF8E4758"
"49973A78-82E0-4253-895F-F49EE8C9DEF7","","","Sharda Cropchem Limited","Dashrathlal Joshi Road ","","0464375B-05BB-49D1-BCE2-236A3BDBA0E9","","CDA1F206-EDB0-40D2-8FF6-15B29EAD6C7F"
"4B828ECC-FB0A-4F3B-B622-A1B9B08DD763","","","Schneiter Agro AG","Industrie Birren 30","","6A7BB449-7E3F-4923-B16E-34DA5017ECBE","056 201 45 45","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"4CC31B07-2CD4-401B-908C-DD6E448D012B","","","Cheminova Agro Italia S.R.L.","Via F. lli Bronzetti, 32/38 ","","0265C375-2457-4BA9-9EE1-FBF2CB879BFB","","BE1D323D-29E4-4570-8618-5463896BE5D2"
"4ECE4614-FC05-4317-B294-95CFCEA84A80","","","Quimetal internacional","Calle Torneros 14 ","","FC6BBD52-4054-4CF8-8AEF-19BF9E22BD65","","BEB87459-DB4C-4C85-84EB-BEF7C6E012EF"
"5061AF3F-E1C6-4E91-BC0A-10A26CFD01E0","","","Méoc SA","Route du Léman 10","C P 48","61A08899-8186-403D-A7F3-F6814B2993A3","027 746 16 39","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"5086E8CB-6AF0-48ED-99DF-C3524B2F3A4B","","","FMC IP Technology Sàrl, Zweigniederlassung Vernier","Chemin de Blandonnet 8","","E156F657-22A6-4EAA-AAA6-21CFB0FF56E9","+49 4141 9204 248  Mobile +49 171 640 7850 ","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"50A7859F-7D8C-473F-B38C-26E1A8F2E53F","","","Menora GmbH","Metahofgasse 30 ","","A33A7E09-68E8-4ADB-A5EE-B501929C97F0","","29738AA2-5393-438D-BE07-9D6B56D2ACCF"
"51146CC7-4FCC-4D7D-84AC-829BE7105BB6","","","De Sangosse","Bonnel ","B P 5","5B5F1209-1030-495B-B890-BCC920216D42","53 69 36 30","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"51205EA7-73ED-4C5C-A911-B3A11837242B","","","Philagro France","VILCERY ","","4E77FCA9-DBA5-48E1-8DB3-D53E7C6DEC21","","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"5164D739-E076-4BF8-BE9A-9D2BB7C73BA4","","","HMWC SARL","8 voie vallon ","10150","E666414E-D459-401E-981D-8A68B5217C49","0033608893727","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"53DD0D57-40EA-4F46-AB09-395FF93425F1","","","Societe financiere de Pontarlier","VILLA CELONY, 1175 MONTEE D'AVIGNON ","","79E8C144-E9E8-45BF-A3B4-81B9D83328E6","","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"5710564A-E5EF-41D2-A3AF-74B898A51086","","","Azufrera y Fertilizantes Pallares, S.A.","Av. Europa parcela 1-7, poligino de Costanti ","","9BA05670-FDC6-47DE-8146-E32CAB59936B","+34 977 524 650","BEB87459-DB4C-4C85-84EB-BEF7C6E012EF"
"5818668E-F5AA-40EA-A365-F8D92519E46C","","","Scam SPA","Corso Orbassano 368/18 ","","F850670E-237E-4E24-8A42-1CDA6D6C0212","","BE1D323D-29E4-4570-8618-5463896BE5D2"
"5825427C-A0FC-4F25-AEE5-87F24A00C745","","","Bayer S.A.S, ","Rue Jean-Marie Leclair 16","CS 90106","870561B2-6662-4E83-8BCA-0A1EE6DF3934","","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"592E625C-E353-4E4B-81C7-858535E04FA5","","","Crop Chem Handelsgesellschaft GmbH","Bärweilerstrasse 55 ","","47AD2AC5-9896-4299-9388-1DEF69062F1C","","56CCE907-F002-4B0C-B948-98299B1FEA6E"
"5A75BA51-7E5D-46BF-824A-6654B96229AD","","","Sharda Worldwide Export Private Ltd.","Domnic Road 29th, Bandra West ","","C4D799C4-60B1-41EB-AF63-FF2796CDFFF4","","CDA1F206-EDB0-40D2-8FF6-15B29EAD6C7F"
"5BE3C4EA-8E70-4A95-8365-C3F2971327B5","","","SIPCAM OXON S.p.A.","Via Vittorio Veneto 81 ","","91B8A68F-37CC-4938-A4AA-33705A2DD6DC","","BE1D323D-29E4-4570-8618-5463896BE5D2"
"5CC42699-9538-4927-9CF5-85B7A99ABF00","","","Bayer CropScience N.V.","J.E.Mommertslaan 14 ","","EF060BEF-6D43-4240-83DD-EA3E492EFA34","","9E495CC6-2D2C-4E76-B183-8D98611AEBA4"
"5D12B703-B7FD-4E5B-A345-B2B27039DC51","","","Sumitomo Chemical Agro Europe SAS","10a, rue de la Voie Lactée ","","8B019661-A7F7-4027-AB6F-2AA8A7DA2F2A","","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"5E002797-A3B5-4C00-B6B0-F130F5DA5C02","","","Monsanto Agrar Deutschland GmbH","Elisabeth- Selbert- Straße 4a ","","94A7318A-5DBC-4F89-AF23-F0CEBD86059A","+49 (0) 2173 2076 569","56CCE907-F002-4B0C-B948-98299B1FEA6E"
"5E2915EB-369E-4C9C-B8B7-9FAAABF0E127","","","Sintagro M. Eggen","Chasseralstrasse 1-3","","7789DD03-D754-4735-9527-542737F3CEB9","062 398 57 57","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"5F2FC518-5717-4E4F-9C2F-BA1E589EDF71","","","GLOBACHEM NV","Leeuwerweg 138 ","","BDB25425-87A3-4A8A-A924-4900D7F6A2D3","+32 11 78 57 17","9E495CC6-2D2C-4E76-B183-8D98611AEBA4"
"5F914527-3A45-4E33-99A6-E032CD118F53","","","Bayer AG","Kaiser-Wilhelm-Allee 1  ","51373","917CB2AF-85C1-40CE-B18B-F4A67D514EED","","56CCE907-F002-4B0C-B948-98299B1FEA6E"
"61A0B237-6FF1-45D4-ADC1-8CB236C139ED","","","STAR Agro Handels GmbH","Europapark 1 ","","43BC231B-B563-4C6D-8A6A-BDCE649503F0","","29738AA2-5393-438D-BE07-9D6B56D2ACCF"
"63D86FDE-6C36-4F4F-8377-A24CE017B396","","","Agrimix S.R.L.","Via Campobello, 1 ","","F9E31923-C8F7-4756-B076-C8A207CC9945","","BE1D323D-29E4-4570-8618-5463896BE5D2"
"63E2EB7A-378B-4B8C-B99E-11FC1FF10951","","","Taminco N.V","Pantserschipstraat 207 ","","86820623-7CF3-4164-A090-79BFFE9B38FA","","9E495CC6-2D2C-4E76-B183-8D98611AEBA4"
"65146811-FE18-4A69-8F7A-200B67B8CC40","","","Hans Müller Gärtnerei AG","Oberfeldstr. 5","","5474D652-70BA-4A95-8FDE-3D0312C76AEB","071/642 11 77","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"6568B359-EF49-4D27-9436-D1B170A97FB7","","","Arysta Lifescience Benelux SPRL","Rue de Renory 26/1 ","","02EE1D31-D772-451E-A10C-CCE86ECA2155","","9E495CC6-2D2C-4E76-B183-8D98611AEBA4"
"6670A5CC-9EE1-4710-A809-C03C34BFD838","","","Andermatt Biogarten AG","Stahlermatten 6","","BBA04C94-D866-4C40-9C4A-7D68E84E069E","","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"66E64A79-0D2F-4157-BA37-DF4370468CE6","","","You Solution","Nattermannallee 1 ","","ED239201-0FC3-4995-828A-108859625AE5","","56CCE907-F002-4B0C-B948-98299B1FEA6E"
"687369FB-FFAD-40AC-9835-FF3BCB0658F9","","","ISK Biosciences Europe N.V.","Pegasus Park / De Kleetlaan 12B ","","74627943-33EF-4B16-B894-EC6E61F0169D","","9E495CC6-2D2C-4E76-B183-8D98611AEBA4"
"690F0868-E925-4727-B57F-B6A802858F67","","","Nissan Chemical Europe S.A.S.","10A, rue de la Voie Lactée ","","6A1DADC7-E6D3-43C1-850E-7C1369BCB2CC","","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"6ECBC146-CA66-49CC-B558-B3152C08AD80","","","Globachem N.V.","Lichtenberglaan 2019","","92036F74-2763-4280-A87D-C6E0716088B3","","9E495CC6-2D2C-4E76-B183-8D98611AEBA4"
"6FB69C1A-3329-45C1-A17A-090575B52579","","","Rotam Agrochemical Europe Ltd","Hamilton House, Mobledon Place ","","A0B44493-3AA5-4094-9376-A561BBB161CC","","DAC731AC-BB70-4164-B500-83559938B481"
"6FE3CAAD-C709-4DAD-9F44-BB5686D5B0B6","","","Hauri AG","Eichlistrasse 9","","EECEFD40-6013-498F-8346-9DB044355FD8","","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"71888824-73FB-4400-9190-D14196162CC8","","","Phyteurop S.A.","53 rue Raspail ","","F5C41E83-5A35-40D7-A681-09BF5E33C182","","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"737B5A15-E3B7-4E10-8693-5F081490641B","","","Pan Amenity Ltd","8 Cromwell Mews ","PE27 5HJ","E791E920-D6C1-458D-9FA2-15ED05E14762","","1F940D8D-2632-44A9-A4D5-8172AE6661E2"
"75AB70BC-9C52-4036-9E20-9B14DE89B805","","","Sharda Cropchem Espana S.L.","Carril Condomina n°3 ","","2C4735CF-44AA-42BC-8154-36380417FB42","","BEB87459-DB4C-4C85-84EB-BEF7C6E012EF"
"78249B4A-2C6E-4552-B20F-5B650EAD4EB6","","","Dormfresh Limited, Perth (UK)","Steinenschanze 6","","39F47407-E4AE-4ECB-8E75-770401892E17","","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"78383A9B-B46D-42D9-9572-D1C6A5BF36BF","","","Albaugh UK Limited","1 Northumberland Ave, Westminster ","","9712379C-4D05-42FA-A11B-BBB06BEBB514","","1F940D8D-2632-44A9-A4D5-8172AE6661E2"
"7A282BB5-1EF2-411D-9954-C784F09B4E97","","","Bayer Austria GmbH Geschäftsbereich für Pflanzenschutz","Lerchenfelder Gürtel 9-11 ","","6475D927-651E-44B2-832A-E3EEC8B512ED","","29738AA2-5393-438D-BE07-9D6B56D2ACCF"
"7AF22550-EF69-440A-9671-9EF9D91C37E5","","","BASF France","49, avenue Georges-Pompidou ","","3BF719A2-574B-49EF-A277-48E0D9864590","","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"7C206C75-DE66-4D4F-952C-C5E149D31C64","","","Sharda Swiss Sàrl","Kochergasse 6","","16FEBFD0-C7FD-4F64-9EAB-06C13DA82377","T +41 31 328 35 35 | M +41 78 843 8000 ","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"802723CD-5A92-4E44-82F5-083A105C9F90","","","Bayer CropScience "," ","","20F35B79-93F1-4B85-879D-025075F55589","","56CCE907-F002-4B0C-B948-98299B1FEA6E"
"80DA1955-1AC4-4180-9BC7-5D76D7D85BBA","","","Eric Schweizer AG","Maienstrasse 8","","6841A9E9-9D67-4EBC-9D10-552B28F6A5C4","033 227 57 57","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"8216BB41-80BD-4A4C-BE63-08EDE7F4C128","","","Bayer SAS","14 Rue de la Pierre Follege  ","","9765E150-DCCF-436B-BDF3-7A7A0355E2ED","","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"84D0755C-2423-40BE-A70F-F89AD4F7DE47","","","DuPont de Nemours (France) S.A.","23/25 rue Delarivière-Lefoullon, La Défense 9 ","","3EADFC10-827F-4228-A742-F54964E5DCFB","","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"84E721E7-7A4F-4F80-B06A-A49B17EB0311","","","Omya (Schweiz) AG","Baslerstrasse 42","","86B30C5E-0D2C-4BA6-B789-EE125BB8F744"," ","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"8627FD33-6B14-4071-B4E5-2C83895D524C","","","Life Scientific Ltd","Nova UCD, Belfield Innovation Park , UCD Belfield ","","592CB227-2523-4CC6-BB63-A2760480B9C6","","2E460BBE-6A62-40A2-8C1F-F7A7145A42C2"
"866CC9D1-A64D-472F-875A-62D5A92AA74F","","","Matox AG","Hohfuhrenweg   14","Postfach 61","F20A1CDB-5498-4103-A51A-CCB7B245AF21","032 387 70 70","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"878DE3BA-24BD-424D-9C82-16547C007F5B","","","Bernbeck LLP","26-28 Bedford Row ","","B3D2599C-9E63-48C3-8A4F-254D1D416671","","DAC731AC-BB70-4164-B500-83559938B481"
"8991748A-10D5-471E-BA8F-D0E7E7BF05DF","","","Nichino Europ Co LTD","5 Pionee Court, Vision Park Histon ","","F81FF64E-4F3F-4B98-9AF4-9EA2AF5EDF80","","1F940D8D-2632-44A9-A4D5-8172AE6661E2"
"8B15104B-9B8E-4443-B27F-7E6C9D1D65A6","","","Helm AG","Nordkanalstrasse 28 ","","D9A42073-F0DB-47F0-B08E-5B1EDE40F794","","56CCE907-F002-4B0C-B948-98299B1FEA6E"
